# HORMUZ-VIETNAM CRISIS TRACKER — DATA FILE
# Last updated: 2026-03-31

[asiaFuel],,,,,,,,
c,g,d,gp,gl,dp,dl,cur,dt
Vietnam,20.8,83.8,"20,151","24,332","19,279","35,440",VND,27-Mar
Malaysia,49.4,84,2.59,3.87,3,5.52,MYR,26-Mar
Cambodia,13.3,72.4,"4,413","5,000","3,800","6,550",KHR,26-Mar
China,7.8,8.5,6.4,6.9,6.54,7.1,CNY,26-Mar
Japan,13.1,14.3,157.1,177.7,145.2,166,JPY,23-Mar
Korea,7.6,13.9,"1,691","1,821","1,594","1,816",KRW,27-Mar
Indonesia,4.2,7.1,"11,933","12,430","13,450","14,400",IDR,26-Mar
Philippines,3.3,-4.6,55,56.9,63.4,60.5,PHP,9-Mar
Thailand,34.4,82.5,30.55,41.05,29.94,54.64,THB,26-Mar
Singapore,36.9,61.9,2.49,3.41,2.26,3.66,SGD,26-Mar
Lao PDR,33.4,67.3,"23,894","31,884","19,356","32,385",LAK,26-Mar

