# HORMUZ-VIETNAM CRISIS TRACKER — DATA FILE
# Last updated: 2026-03-31

[vnFuel],,,,,,,,
date,ron95,diesel,,,,,,
1-Jan-26,18917,17255,,,,,,
2-Jan-26,18917,17255,,,,,,
5-Jan-26,18917,17255,,,,,,
6-Jan-26,18917,17255,,,,,,
7-Jan-26,18917,17255,,,,,,
8-Jan-26,18560,17061,,,,,,
9-Jan-26,18560,17061,,,,,,
12-Jan-26,18560,17061,,,,,,
13-Jan-26,18560,17061,,,,,,
14-Jan-26,18560,17061,,,,,,
15-Jan-26,18712,17287,,,,,,
16-Jan-26,18712,17287,,,,,,
19-Jan-26,18712,17287,,,,,,
20-Jan-26,18712,17287,,,,,,
21-Jan-26,18712,17287,,,,,,
22-Jan-26,18631,17700,,,,,,
23-Jan-26,18631,17700,,,,,,
26-Jan-26,18631,17700,,,,,,
27-Jan-26,18631,17700,,,,,,
28-Jan-26,18631,17700,,,,,,
29-Jan-26,18845,18173,,,,,,
30-Jan-26,18845,18173,,,,,,
2-Feb-26,18845,18173,,,,,,
3-Feb-26,18845,18173,,,,,,
4-Feb-26,18845,18173,,,,,,
5-Feb-26,18880,18453,,,,,,
6-Feb-26,18880,18453,,,,,,
9-Feb-26,18880,18453,,,,,,
10-Feb-26,18880,18453,,,,,,
11-Feb-26,18880,18453,,,,,,
12-Feb-26,19298,18463,,,,,,
13-Feb-26,19298,18463,,,,,,
16-Feb-26,19298,18463,,,,,,
17-Feb-26,19298,18463,,,,,,
18-Feb-26,19298,18463,,,,,,
19-Feb-26,19298,18463,,,,,,
20-Feb-26,19152,18525,,,,,,
23-Feb-26,19152,18525,,,,,,
24-Feb-26,19152,18525,,,,,,
25-Feb-26,19152,18525,,,,,,
26-Feb-26,20151,19279,,,,,,
27-Feb-26,20151,19279,,,,,,
2-Mar-26,20151,19279,,,,,,
3-Mar-26,20151,19279,,,,,,
4-Mar-26,20151,19279,,,,,,
5-Mar-26,22340,23037,,,,,,
6-Mar-26,22340,23037,,,,,,
9-Mar-26,22340,23037,,,,,,
10-Mar-26,29120,30717,,,,,,
11-Mar-26,25240,26470,,,,,,
12-Mar-26,25575,27025,,,,,,
13-Mar-26,25575,27025,,,,,,
16-Mar-26,25575,27025,,,,,,
17-Mar-26,25575,27025,,,,,,
18-Mar-26,25575,27025,,,,,,
19-Mar-26,30690,33420,,,,,,
20-Mar-26,30690,33420,,,,,,
23-Mar-26,30690,33420,,,,,,
24-Mar-26,30690,33420,,,,,,
25-Mar-26,29957,37899,,,,,,
26-Mar-26,24332,35440,,,,,,
27-Mar-26,24332,35440,,,,,,
,,,,,,,,
30-Mar-26,24332,35440
31-Mar-26,24332,35440

[vnFuelFull]
date,date_iso,ron92,ron95,diesel,kerosene,hfo
28-Jun-21,2021-06-28,19760,20916,16119,15051,15449
29-Jun-21,2021-06-29,19760,20916,16119,15051,15449
30-Jun-21,2021-06-30,19760,20916,16119,15051,15449
1-Jul-21,2021-07-01,19760,20916,16119,15051,15449
2-Jul-21,2021-07-02,19760,20916,16119,15051,15449
5-Jul-21,2021-07-05,19760,20916,16119,15051,15449
6-Jul-21,2021-07-06,19760,20916,16119,15051,15449
7-Jul-21,2021-07-07,19760,20916,16119,15051,15449
8-Jul-21,2021-07-08,19760,20916,16119,15051,15449
9-Jul-21,2021-07-09,19760,20916,16119,15051,15449
12-Jul-21,2021-07-12,20610,21783,16537,15503,15670
13-Jul-21,2021-07-13,20610,21783,16537,15503,15670
14-Jul-21,2021-07-14,20610,21783,16537,15503,15670
15-Jul-21,2021-07-15,20610,21783,16537,15503,15670
16-Jul-21,2021-07-16,20610,21783,16537,15503,15670
19-Jul-21,2021-07-19,20610,21783,16537,15503,15670
20-Jul-21,2021-07-20,20610,21783,16537,15503,15670
21-Jul-21,2021-07-21,20610,21783,16537,15503,15670
22-Jul-21,2021-07-22,20610,21783,16537,15503,15670
23-Jul-21,2021-07-23,20610,21783,16537,15503,15670
26-Jul-21,2021-07-26,20610,21783,16537,15503,15670
27-Jul-21,2021-07-27,20498,21681,16375,15398,15522
28-Jul-21,2021-07-28,20498,21681,16375,15398,15522
29-Jul-21,2021-07-29,20498,21681,16375,15398,15522
30-Jul-21,2021-07-30,20498,21681,16375,15398,15522
2-Aug-21,2021-08-02,20498,21681,16375,15398,15522
3-Aug-21,2021-08-03,20498,21681,16375,15398,15522
4-Aug-21,2021-08-04,20498,21681,16375,15398,15522
5-Aug-21,2021-08-05,20498,21681,16375,15398,15522
6-Aug-21,2021-08-06,20498,21681,16375,15398,15522
9-Aug-21,2021-08-09,20498,21681,16375,15398,15522
10-Aug-21,2021-08-10,20498,21681,16375,15398,15522
11-Aug-21,2021-08-11,20498,21681,16173,15179,15405
12-Aug-21,2021-08-12,20498,21681,16173,15179,15405
13-Aug-21,2021-08-13,20498,21681,16173,15179,15405
16-Aug-21,2021-08-16,20498,21681,16173,15179,15405
17-Aug-21,2021-08-17,20498,21681,16173,15179,15405
18-Aug-21,2021-08-18,20498,21681,16173,15179,15405
19-Aug-21,2021-08-19,20498,21681,16173,15179,15405
20-Aug-21,2021-08-20,20498,21681,16173,15179,15405
23-Aug-21,2021-08-23,20498,21681,16173,15179,15405
24-Aug-21,2021-08-24,20498,21681,16173,15179,15405
25-Aug-21,2021-08-25,20498,21681,16173,15179,15405
26-Aug-21,2021-08-26,19891,21131,15667,14762,15055
27-Aug-21,2021-08-27,19891,21131,15667,14762,15055
30-Aug-21,2021-08-30,19891,21131,15667,14762,15055
