# HORMUZ-VIETNAM CRISIS TRACKER — DATA FILE
# Last updated: 2026-03-31

[brentSeries],,,,,,,,
date,brent,wti,,,,,,
15-Jan,68.5,59.6,,,,,,
22-Jan,69.1,60.1,,,,,,
29-Jan,67.8,59,,,,,,
5-Feb,68.9,59.9,,,,,,
12-Feb,69.2,60.2,,,,,,
19-Feb,68.5,59.6,,,,,,
26-Feb,68.8,59.9,,,,,,
28-Feb,78.4,68.2,,,,,,
1-Mar,84.7,73.7,,,,,,
2-Mar,86.3,75.1,,,,,,
5-Mar,88.9,77.3,,,,,,
7-Mar,93,80.9,,,,,,
9-Mar,94,81.8,,,,,,
10-Mar,84.6,73.6,,,,,,
12-Mar,96.2,90.9,,,,,,
14-Mar,103.1,98.7,,,,,,
17-Mar,103,98.9,,,,,,
18-Mar,101,95.5,,,,,,
19-Mar,108.5,96.4,,,,,,
20-Mar,113.4,96.4,,,,,,
21-Mar,107.2,98.2,,,,,,
23-Mar,112.19,98.32,,,,,,
24-Mar,98.83,90.67,,,,,,
27-Mar,112.57,99.64,,,,,,
,,,,,,,,
Mar-30,115.35,102.88

[gmVix],,,,,,,,
date,value,,,,,,,
15-Jan,16.2,,,,,,,
1-Feb,15.8,,,,,,,
15-Feb,16.5,,,,,,,
28-Feb,22.4,,,,,,,
7-Mar,28.1,,,,,,,
14-Mar,26.5,,,,,,,
20-Mar,24.06,,,,,,,
21-Mar,25.81,,,,,,,
23-Mar,26.78,,,,,,,
24-Mar,24.85,,,,,,,
26-Mar,27.44,,,,,,,
27-Mar,31.05,,,,,,,
,,,,,,,,
Mar-30,30.61

[gmGold],,,,,,,,
date,value,,,,,,,
15-Jan,4266,,,,,,,
1-Feb,4404,,,,,,,
15-Feb,5120,,,,,,,
28-Feb,4800,,,,,,,
7-Mar,4750,,,,,,,
14-Mar,4860,,,,,,,
19-Mar,4551,,,,,,,
21-Mar,4607,,,,,,,
23-Mar,4373,,,,,,,
24-Mar,4320,,,,,,,
27-Mar,4493,,,,,,,
,,,,,,,,
Mar-30,4567

[gmGas],,,,,,,,
date,value,,,,,,,
15-Jan,2.95,,,,,,,
1-Feb,2.97,,,,,,,
15-Feb,2.99,,,,,,,
28-Feb,3.15,,,,,,,
7-Mar,3.1,,,,,,,
14-Mar,3.11,,,,,,,
21-Mar,3.16,,,,,,,
23-Mar,3.07,,,,,,,
,,,,,,,,

[gmGscpi],,,,,,,,
date,value,,,,,,,
Jan,0.8,,,,,,,
Feb,1.2,,,,,,,
Mar (est.),3.5,,,,,,,

